Product Code,Cat 1,Cat 2,Cat 3,Cat 4,Cat 5,Cat 6,Cat 7,Sub Cat,Item,Range/Brand,Length cm (approx),Height cm (approx),Width cm (Approx),Depth cm (Approx),Size (all sizes are approximate),Fabric,Colour,Web product Name,descriptive and user tags (separated by |),image name 1 (same as sku),image name 2 (same as sku),image name 3 (same as sku),Availability,Supplier,Range,Cost Price (ex VAT,Mark up %, Selling Price (ex VAT) ,Delivery Timescale (Working days),Assembled/Flat Pack,Excel Sell Code,Excel Type 3 Sell Price,Warranty,
COFFEE0001,Living Room,,,,,,,Living Room Furniture,Coffee Tables Prebuilt ,York,,,,,Medium,Wood,Natural Oak,York Coffee Table,"Rectangular coffee table | Wood effect with wooden legs | H470 W1200  D600 approx. | Profiled and polished edges, glued and screwed | Complies with EN 12521:2015 for strength, durability and safety of tables",York Coffee Table,,,Stock,Heartlands,Essential, £30.00 ,75, £52.50 ,,Assembled,DFF0145SDID,£35.00,1 Year Warranty,
TVUNIT0002,Living Room,,,,,,,Living Room Furniture,TV Units Prebuilt,Marseille,,,,,Medium,Wood,Maple,Marseille TV Unit,"Rectangular TV unit | Wood effect table top with metal legs |Profiled and polished edges, glued and screwed | Complies with EN 60065:2002+A12:2011 or EN 60065:2014",MARSEILLE tv unit,,,Stock,Hughes/Argos,Essential, £25.00 ,75, £43.75 ,,Assembled,DFF0155SDID,£35.51,1 Year Warranty,
CHAIRD0001,Dining Room,Living Room,,,,,,Dining Room Furniture,Dining Chairs wooden/metal legs,Fiji,,,,,Standard,Wood/Metal,Beech/Chrome,Fiji Dining Chair,Contemporary dining chair | Round wood seat with chrome legs and plastic feet | Beach effect finish | Ready assembled ,Fiji Round Chairs Beech,,,Stock,Heartlands,Essential, £16.00 ,75, £28.00 ,,Assembled,DFF0147SDID,£21.44,1 Year Warranty,
CHAIRD0002,Dining Room,Living Room,,,,,,Dining Room Furniture,Dining Chairs Wooden,York,,,,,Standard,Wood,Natural Oak,York Wooden Dining Chair,Traditional style dining chair | Solid rubberwood in natural oak effect finish,York Chair,,,Stock,Heartlands,Essential, £12.50 ,75, £21.88 ,,Assembled,DFF0148SDID,£16.80,1 Year Warranty,
TABLED0001,Dining Room,Living Room,,,,,,Dining Room Furniture,Dining Tables Small,York,,,,,Small,Wood,Natural Oak,York Small Dining Table  - 2 person,"Traditional style, compact dining table for two | Solid rubberwood in natural oak effect finish",York Small,,,Stock,Heartlands,Essential, £35.00 ,75, £61.25 ,,Assembled,TABLED0001,£55.78,1 Year Warranty,
TABLED0002,Dining Room,Living Room,,,,,,Dining Room Furniture,Dining Tables Medium,York,,,,,Medium,Wood,Natural Oak,York Medium Dining Table - 4 person,Traditional style dining table for four | Solid rubberwood in natural oak effect finish ,York 1+4,,,Stock,Heartlands,Essential, £40.00 ,75, £70.00 ,,Assembled,DFF0151SDID,£56.00,1 Year Warranty,
TABLED0003,Dining Room,Living Room,,,,,,Dining Room Furniture,Dining Tables Large,York,,,,,Large,Wood,Natural Oak,York Large Dining Table - 6 person,Traditional style dining table for six | Solid rubberwood in natural oak effect finish ,York Large,,,Stock,Heartlands,Essential, £82.50 ,75, £144.38 ,,Assembled,TABLED0003,£122.07,1 Year Warranty,
TABLED0004,Dining Room,Living Room,,,,,,Dining Room Furniture,Dining Tables Round/metal legs Medium,Fiji,,,,,Medium,Wood/Metal,Beech/Chrome,Fiji Round Dining Table - 4 person,Contemporary round dining table | Wood table with chrome legs and plastic feet | Table diameter 900mm | Beach effect finish | Ready assembled ,Fiji Round 1+4 Beech,,,Stock,Heartlands,Essential, £52.50 ,75, £91.88 ,,Assembled,DFF0143SDID,£53.60,1 Year Warranty,
MATPRO0002,Bedroom,,,,,,,Bedding,Mattress Protectors Quilted Single,Arbry,,,,,Single,Polycotton/Polyester,White,Quilted Mattress Protector - Single,Polycotton top and sides with a 2oz quilted wadding inside | Machine washable,quilted polycotton matt prot + pillow prot (2),,,Stock,Avantex,Essential, £2.65 ,75, £4.64 ,,Assembled,DFF0062SDID,£3.92,1 Year Warranty,
MATPRO0004,Bedroom,,,,,,,Bedding,Mattress Protectors Waterproof Terry Single,Arbry,,,,,Single,Terry Towelling with PVC backing,White,Waterproof Terry Cotton Mattress Protector - Single,Fully waterproof with a Terry Cotton top and sides with a PVC backing to protect the mattress from water damage | Machine washable,terry waterproof matt prot (2),,,Stock,Avantex,Essential, £4.60 ,75, £8.05 ,,Assembled,DFF0060SDID,£5.84,1 Year Warranty,
MATPRO0001,Bedroom,,,,,,,Bedding,Mattress Protectors Quilted Double Quilted,Arbry,,,,,Double,Polycotton/Polyester,White,Quilted Mattress Protector - Double,Polycotton top and sides with 2oz quilted wadding inside | Machine washable,quilted polycotton matt prot + pillow prot (2),,,Stock,Avantex,Essential, £4.35 ,75, £7.61 ,,Assembled,DFF0063SDID,£6.30,1 Year Warranty,
MATPRO0006,Bedroom,,,,,,,Bedding,Mattress Protectors Quilted King Quilted,Arbry,,,,,King,Polycotton/Polyester,White,Quilted Mattress Protector - King,Polycotton top and sides with 2oz quilted wadding inside | Machine washable,quilted polycotton matt prot + pillow prot (2),,,Stock,Avantex,Essential, £6.25 ,75, £10.94 ,,Assembled,no sales code,£9.38,1 Year Warranty,
