Product Code,Cat 1,Cat 2,Cat 3,Cat 4,Cat 5,Cat 6,Cat 7,Sub Cat,Item,Range/Brand,Size (all sizes are approximate),Fabric,Colour,Web product Name,descriptive and user tags (separated by |),image name 1 (same as sku),image name 2 (same as sku),image name 3 (same as sku),Availability,Supplier,Range,Cost Price (ex VAT,Mark up %, Selling Price (ex VAT) ,Delivery Timescale (Working days),Assembled/Flat Pack,Excel Sell Code,Excel Type 3 Sell Price,Warranty
COFFEE0001,Living Room,,,,,,,Living Room Furniture,Coffee Tables Prebuilt ,York,Medium,Wood,Natural Oak,York Coffee Table,"Rectangular coffee table | Wood effect with wooden legs | H470 W1200  D600 approx. | Profiled and polished edges, glued and screwed | Complies with EN 12521:2015 for strength, durability and safety of tables",York Coffee Table,,,Stock,Heartlands,Essential,£30.00,75,£52.50,,Assembled,DFF0145SDID,£35.00,1 Year Warranty
TVUNIT0002,Living Room,,,,,,,Living Room Furniture,TV Units Prebuilt,Marseille,Medium,Wood,Maple,Marseille TV Unit,"Rectangular TV unit | Wood effect table top with metal legs |Profiled and polished edges, glued and screwed | Complies with EN 60065:2002+A12:2011 or EN 60065:2014",requested,,,Stock,Hughes/Argos,Essential,£25.00,75,£43.75,,Assembled,DFF0155SDID,£35.51,1 Year Warranty
CHAIRD0001,Dining Room,Living Room,,,,,,Dining Room Furniture,Dining Chairs wooden/metal legs,Fiji,Standard,Wood/Metal,Beech/Chrome,Fiji Dining Chair,Contemporary dining chair | Round wood seat with chrome legs and plastic feet | Beach effect finish | Ready assembled ,Fiji Round Chairs Beech,,,Stock,Heartlands,Essential,£16.00,75,£28.00,,Assembled,DFF0147SDID,£21.44,1 Year Warranty
CHAIRD0002,Dining Room,Living Room,,,,,,Dining Room Furniture,Dining Chairs Wooden,York,Standard,Wood,Natural Oak,York Wooden Dining Chair,Traditional style dining chair | Solid rubberwood in natural oak effect finish,York Chair,,,Stock,Heartlands,Essential,£12.50,75,£21.88,,Assembled,DFF0148SDID,£16.80,1 Year Warranty
TABLED0001,Dining Room,Living Room,,,,,,Dining Room Furniture,Dining Tables Small,York,Small,Wood,Natural Oak,York Small Dining Table  - 2 person,"Traditional style, compact dining table for two | Solid rubberwood in natural oak effect finish",York Small,,,Stock,Heartlands,Essential,£35.00,75,£61.25,,Assembled,TABLED0001,£55.78,1 Year Warranty
TABLED0002,Dining Room,Living Room,,,,,,Dining Room Furniture,Dining Tables Medium,York,Medium,Wood,Natural Oak,York Medium Dining Table - 4 person,Traditional style dining table for four | Solid rubberwood in natural oak effect finish ,York 1+4,,,Stock,Heartlands,Essential,£40.00,75,£70.00,,Assembled,DFF0151SDID,£56.00,1 Year Warranty
TABLED0003,Dining Room,Living Room,,,,,,Dining Room Furniture,Dining Tables Large,York,Large,Wood,Natural Oak,York Large Dining Table - 6 person,Traditional style dining table for six | Solid rubberwood in natural oak effect finish ,York Large,,,Stock,Heartlands,Essential,£82.50,75,£144.38,,Assembled,TABLED0003,£122.07,1 Year Warranty
TABLED0004,Dining Room,Living Room,,,,,,Dining Room Furniture,Dining Tables Round/metal legs Medium,Fiji,Medium,Wood/Metal,Beech/Chrome,Fiji Round Dining Table - 4 person,Contemporary round dining table | Wood table with chrome legs and plastic feet | Table diameter 900mm | Beach effect finish | Ready assembled ,Fiji Round 1+4 Beech,,,Stock,Heartlands,Essential,£52.50,75,£91.88,,Assembled,DFF0143SDID,£53.60,1 Year Warranty
BEDBAS0014,Bedroom,,,,,,,Bedroom Furniture,Bed Bases King,Diana S5,King,Wood/Fabric,White/Blue,Diana Bed Base - King (contract crib 5),"Bed base to pair with our King Diana Mattress | Polyester Viscose covering | Platform top, non-sprung base | Timber frame construction from sustainable sources; meets FSC/PEFC standards |The Diana bed base adheres to UK Crib 5 flammability regulations | King bed base is split for ease of delivery and installation |  Castors provided for ease of movement | Made in the UK ",candy blue double base RT.jpg,candy blue double detail.jpg,,Special,Highgrove,Essential,£44.00,75,£77.00,6-10 days,Assembled,BEDBAS0014,£84.80,1 Year Warranty
BEDBAS0016,Bedroom,,,,,,,Bedroom Furniture,Bed Bases Pineking King,Pineking Ortho,King,Wood/Fabric,Cream,Pine King Standard Orthopaedic Bed Base - King,Bed base to pair with our PineKing Orthopaedic Mattress | Comfort fabric covering polyester/polypropylene mix | Softwood frame construction from sustainable sources |Black castors for ease of movement | The King base splits for ease of delivery and installation and is joined in situ with linking bars | The PineKing Orthopaedic is for domestic use and conforms to BS7177 low hazard safety regulations | Made in the UK,requested,,,Special,Highgrove,Essential,£70.00,75,£122.50,6-10 days,Assembled,BEDBAS0016,£115.49,1 Year Warranty
