Product Code,Cat 1,Cat 2,Cat 3,Cat 4,Cat 5,Cat 6,Cat 7,Sub Cat,Item,Range/Brand,Size (all sizes are approximate),Fabric,Colour,Web product Name,descriptive and user tags (separated by |),image name 1 (same as sku),image name 2 (same as sku),image name 3 (same as sku),Availability,Supplier,Range,Cost Price (ex VAT,Mark up %, Selling Price (ex VAT) ,Delivery Timescale (Working days),Assembled/Flat Pack,Excel Sell Code,Excel Type 3 Sell Price,Warranty,
ARMCHA0002,Living Room,,,,,,,Living Room Furniture,Armchairs,Hoxton Manhattan,H85 W92 D90,Vinyl,Black,Hoxton Armchair,"The Hoxton is a versatile armchair that would suit most interiors and decor | A compact chair with low wide feet | Faux Leather fabric | Solid wood frame consisting of base rails, springs and other load bearing rails | Fire resistant foam (CMHR) | Stain resistant vinyl covering | 80% PVC 20% Cotton | Stitched seams | Rub test 80,000 | We recommend to clean this article with a sponge dampened with water and vacuum with a soft brush | Removable foam filled seat cushions and removable rebound  fibre filled  back cushion | Compliant with BS5852 Part 1 Cigarette and Match and BS5852 FR3 CRIB Ignition Source 5 | Complies with EN 12520:2015 Strength, durability and safety of seating | Made in the UK",Manhattan-Leather-1-Seater-Black,,,Stock,Bentincks ,Essential, £105.00 ,75, £183.75 ,,Assembled,DFF0159BLSDID,£148.20,1 Year Warranty,
ARMCHA0003,Living Room,,,,,,,Living Room Furniture,Armchairs,Hoxton Manhattan,H85 W92 D90,Vinyl,Brown,Hoxton Armchair,"The Hoxton is a versatile armchair that would suit most interiors and decor | A compact chair with low wide feet | Faux Leather fabric | Solid wood frame consisting of base rails, springs and other load bearing rails | Fire resistant foam (CMHR) | Stain resistant vinyl covering | 80% PVC 20% Cotton | Stitched seams | Rub test 80,000 | We recommend to clean this article with a sponge dampened with water and vacuum with a soft brush | Removable foam filled seat cushions and removable rebound  fibre filled  back cushion | Compliant with BS5852 Part 1 Cigarette and Match and BS5852 FR3 CRIB Ignition Source 5 | Complies with EN 12520:2015 Strength, durability and safety of seating | Made in the UK",Manhattan-Leather-1-Seater-Brown,,,Stock,Bentincks ,Essential, £105.00 ,75, £183.75 ,,Assembled,DFF0159BRSDID,£148.20,1 Year Warranty,
ARMCHA0004,Living Room,,,,,,,Living Room Furniture,Armchairs,Hoxton Manhattan,H85 W92 D90,Vinyl,Cream,Hoxton Armchair,"The Hoxton is a versatile armchair that would suit most interiors and decor | A compact chair with low wide feet | Faux Leather fabric | Solid wood frame consisting of base rails, springs and other load bearing rails | Fire resistant foam (CMHR) | Stain resistant vinyl covering | 80% PVC 20% Cotton | Stitched seams | Rub test 80,000 | We recommend to clean this article with a sponge dampened with water and vacuum with a soft brush | Removable foam filled seat cushions and removable rebound  fibre filled  back cushion | Compliant with BS5852 Part 1 Cigarette and Match and BS5852 FR3 CRIB Ignition Source 5 | Complies with EN 12520:2015 Strength, durability and safety of seating | Made in the UK",0,,,Special,Bentincks ,Essential, £105.00 ,75, £183.75 ,10-15 days,Assembled,DFF0140CRSDID,£148.20,1 Year Warranty,
ARMCHA0006,Living Room,,,,,,,Living Room Furniture,Armchairs,Hoxton Manhattan,H85 W92 D90,Fabric,Beige,Hoxton Armchair,"Upholstered armchair (part of suite) | Removable foam filled seat cushion and removable rebound fibre filled back cushion | Fire resistant foam (CMHR) | 100% Polyester | Solid wood frame FSC certified| Vacuum with a soft brush attachment | Compliant with BS5852 Part 1 Cigarette and Match and BS5852 FR3 CRIB Ignition Source 5 | Complies with EN 12520:2015 for strength, durability and safety of seating | Made in the UK",0,,,Special,Bentincks ,Essential, £105.00 ,75, £183.75 ,10-15 days,Assembled,DFF0141BGSDID,£148.20,1 Year Warranty,
ARMCHA0007,Living Room,,,,,,,Living Room Furniture,Armchairs,Hoxton Manhattan,H85 W92 D90,Fabric,Brown,Hoxton Armchair,"Upholstered armchair (part of suite) | Removable foam filled seat cushion and removable rebound fibre filled back cushion | Fire resistant foam (CMHR) | 100% Polyester | Solid wood frame FSC certified| Vacuum with a soft brush attachment | Compliant with BS5852 Part 1 Cigarette and Match and BS5852 FR3 CRIB Ignition Source 5 | Complies with EN 12520:2015 for strength, durability and safety of seating | Made in the UK",0,,,Special,Bentincks ,Essential, £105.00 ,75, £183.75 ,10-15 days,Assembled,DFF0141BRSDID,£148.20,1 Year Warranty,
ARMCHA0008,Living Room,,,,,,,Living Room Furniture,Armchairs,Hoxton Manhattan,H85 W92 D90,Fabric,Grey,Hoxton Armchair,"Upholstered armchair (part of suite) | Removable foam filled seat cushion and removable rebound fibre filled back cushion | Fire resistant foam (CMHR) | 100% Polyester | Solid wood frame FSC certified| Vacuum with a soft brush attachment | Compliant with BS5852 Part 1 Cigarette and Match and BS5852 FR3 CRIB Ignition Source 5 | Complies with EN 12520:2015 for strength, durability and safety of seating | Made in the UK",no stock - fabric swatch,,,Special,Bentincks ,Essential, £105.00 ,75, £183.75 ,10-15 days,Assembled,DFF0141GRSDID,£148.20,1 Year Warranty,
ARMCHA0019,Living Room,,,,,,,Living Room Furniture,Armchairs,Barcelona York,H93 W113 D98,Vinyl,Black,Barcelona Armchair,"Faux leather armchair | Solid wood frame FSC Certified | 80% PVC 20% Cotton | Fire resistant foam (CMHR) | Stain resistant vinyl covering | Stitched seams | Foam filled fixed seat cushion and removable rebound fibre filled back cushion | We recommend to clean with a damp sponge and vacuum with a soft brush | Complies to EN 12520:2015 for strength, durability and safety of seating",cara_1seater1,cara_1seater2,,Special,Bentincks ,Essential, £75.00 ,75, £131.25 ,10-15 days,Assembled,DFF0302BLSDID,£134.20,1 Year Warranty,
ARMCHA0020,Living Room,,,,,,,Living Room Furniture,Armchairs,Barcelona York,H93 W113 D98,Vinyl,Brown,Barcelona Armchair,"Faux leather armchair | Solid wood frame FSC Certified | 80% PVC 20% Cotton | Fire resistant foam (CMHR) | Stain resistant vinyl covering | Stitched seams | Foam filled fixed seat cushion and removable rebound fibre filled back cushion | We recommend to clean with a damp sponge and vacuum with a soft brush | Complies to EN 12520:2015 for strength, durability and safety of seating",cara_1seater1br,cara_1seater2br,,Special,Bentincks ,Essential, £75.00 ,75, £131.25 ,10-15 days,Assembled,DFF0302BRSDID,£134.20,1 Year Warranty,
ARMCHA0025,Living Room,,,,,,,Living Room Furniture,Armchairs,Hoxton Manhattan,H85 W92 D90,Fabric,Aubergine,Hoxton Armchair,"Upholstered armchair (part of suite) | Removable foam filled seat cushion and removable rebound fibre filled back cushion | Fire resistant foam (CMHR) | 100% Polyester | Solid wood frame FSC certified| Vacuum with a soft brush attachment | Compliant with BS5852 Part 1 Cigarette and Match and BS5852 FR3 CRIB Ignition Source 5 | Complies with EN 12520:2015 for strength, durability and safety of seating | Made in the UK",no stock - fabric swatch,,,Special,Bentincks ,Essential, £105.00 ,75, £183.75 ,10-15 days,Assembled,ARMCHA0025,£148.20,1 Year Warranty,
ARMCHA0026,Living Room,,,,,,,Living Room Furniture,Armchairs,Hoxton Manhattan,H85 W92 D90,Fabric,Teal,Hoxton Armchair,"Upholstered armchair (part of suite) | Removable foam filled seat cushion and removable rebound fibre filled back cushion | Fire resistant foam (CMHR) | 100% Polyester | Solid wood frame FSC certified| Vacuum with a soft brush attachment | Compliant with BS5852 Part 1 Cigarette and Match and BS5852 FR3 CRIB Ignition Source 5 | Complies with EN 12520:2015 for strength, durability and safety of seating | Made in the UK",#N/A,,,Special,Bentincks ,Essential, £105.00 ,75, £183.75 ,10-15 days,Assembled,ARMCHA0026,£148.20,1 Year Warranty,
BEDSOF0001,Living Room,Bedroom,,,,,,Living Room Furniture,Sofa Bed,Hoxton Manhattan,H85 W166 D90,Vinyl,Black,Hoxton Sofa Bed,The Hoxton Sofa bed is a three fold action with a 10cm thick mattress | Four additional slats provide support to the polyprop deck at the shoulder and hip area | Slats are mounted by means of 4 springs per slat resulting in a softer suspension | Faux Leather fabric | 80% PVC 20% Cotton  | Removable foam filled seat cushion and rebound fibre filled back cushions |  Fire resistant foam (CMHR) | We recommend to clean this article with a sponge dampened with water | Compliant with BS5852 Part 1 Cigarette and Match and BS5852 FR3 CRIB Ignition Source 5 | Complies with BS7177:2008+A1:2011 | Low hazard fire category | BS EN 1129-1:1995 Foldaway beds | Mechanism conforms to BS EN 13759:2012  | Made in the UK,0,,,Stock,Bentincks ,Essential, £285.00 ,75, £498.75 ,,Assembled,DFF0152BLSDID,£389.40,1 Year Warranty,
BEDSOF0003,Living Room,Bedroom,,,,,,Living Room Furniture,Sofa Bed,Hoxton Manhattan,H85 W166 D90,Vinyl,Brown,Hoxton Sofa Bed,The Hoxton Sofa bed is a three fold action with a 10cm thick mattress | Four additional slats provide support to the polyprop deck at the shoulder and hip area | Slats are mounted by means of 4 springs per slat resulting in a softer suspension | Faux Leather fabric | 80% PVC 20% Cotton  | Removable foam filled seat cushion and rebound fibre filled back cushions |  Fire resistant foam (CMHR) | We recommend to clean this article with a sponge dampened with water | Compliant with BS5852 Part 1 Cigarette and Match and BS5852 FR3 CRIB Ignition Source 5 | Complies with BS7177:2008+A1:2011 | Low hazard fire category | BS EN 1129-1:1995 Foldaway beds | Mechanism conforms to BS EN 13759:2012  | Made in the UK,0,,,Stock,Bentincks ,Essential, £285.00 ,75, £498.75 ,,Assembled,DFF0152BRSDID,£389.40,1 Year Warranty,
SOFA2M0001,Living Room,,,,,,,Living Room Furniture,Sofas 2 Seater,Hoxton Manhattan,H85 W142 D90,Fabric,Beige,Hoxton Sofa,"Two seater upholstered sofa | Fixed cover with removable foam filled seat cushions and removable rebound fibre filled back cushions | Fire resistant foam (CMHR) | 100% Polyester | Solid beech wood or hardwood frame consisting of base rails springs and other load bearing rails | Vacuum with a soft brush | Compliant with BS5852 Part 1 Cigarette and Match and BS5852 FR3 CRIB Ignition Source 5 | Complies with EN 12520:2015 for strength, durability and safety of seating",no stock - fabric swatch,,,Special,Bentincks ,Essential, £145.00 ,75, £253.75 ,10-15 days,Assembled,DFF0137BGSDID,£201.80,1 Year Warranty,
SOFA2M0002,Living Room,,,,,,,Living Room Furniture,Sofas 2 Seater,Hoxton Manhattan,H85 W142 D90,Vinyl,Black,Hoxton Sofa,"The Hoxton is a versatile sofa that would suit most interiors and decor | A compact sofa with low wide feet | Faux Leather fabric | Solid wood frame consisting of base rails, springs and other load bearing rails | Fire resistant foam (CMHR) | Stain resistant vinyl covering | 80% PVC 20% Cotton | Stitched seams | Rub test 80,000 | We recommend to clean this article with a sponge dampened with water and vacuum with a soft brush | Removable foam filled seat cushions and removable rebound fibre filled back cushions | Compliant with BS5852 Part 1 Cigarette and Match and BS5852 FR3 CRIB Ignition Source 5 | Complies with EN 12520:2015 Strength, durability and safety of seating | Made in the UK",Manhattan-Leather-2-Seater-Black,,,Stock,Bentincks ,Essential, £145.00 ,75, £253.75 ,,Assembled,DFF0136BLSDID,£201.80,1 Year Warranty,
SOFA2M0003,Living Room,,,,,,,Living Room Furniture,Sofas 2 Seater,Hoxton Manhattan,H85 W142 D90,Fabric,Brown,Hoxton Sofa,"Two seater upholstered sofa | Fixed cover with removable foam filled seat cushions and removable rebound fibre filled back cushions | Fire resistant foam (CMHR) | 100% Polyester | Solid beech wood or hardwood frame consisting of base rails springs and other load bearing rails | Vacuum with a soft brush | Compliant with BS5852 Part 1 Cigarette and Match and BS5852 FR3 CRIB Ignition Source 5 | Complies with EN 12520:2015 for strength, durability and safety of seating",0,,,Special,Bentincks ,Essential, £145.00 ,75, £253.75 ,10-15 days,Assembled,DFF0137BRSDID,£201.80,1 Year Warranty,
