Product Code,Cat 1,Cat 2,Sub Cat,Length cm (approx),Height cm (approx),Width cm (Approx),Depth cm (Approx),Size (all sizes are approximate),Fabric,Colour,Web product Name,Product Description,User Tags,image name 1 (same as sku),image name 2 (same as sku),Availability,Cost Price (ex VAT,Mark up %, Selling Price (ex VAT) ,Delivery & Returns,Excel Sell Code,Excel Type 3 Sell Price,
ARMCHA0002,Living Room,,Armchairs,,85,92,90,H85 W92 D90,Vinyl,Black,Hoxton Armchair,"The Hoxton is a versatile armchair that would suit most interiors and decor. A compact chair with low wide feet, black faux Leather fabric and solid wood frame consisting of base rails, springs and other load bearing rails. Comprising of fire resistant foam (CMHR), stain resistant vinyl covering (80% PVC 20% Cotton) and stitched seams. Rub test 80,000.  We recommend to clean this article with a sponge dampened with water and vacuum with a soft brush. Has removable foam filled seat cushions and removable rebound  fibre filled  back cushion. Compliant with BS5852 Part 1 Cigarette and Match and BS5852 FR3 CRIB Ignition Source 5. Complies with EN 12520:2015 strength, durability and safety of seating. Made in the UK. Comes with one year warranty. ","armchair,black,Hoxton,C1,CU",Manhattan-Leather-1-Seater-Black,,Stock, £113.40 ,75, £198.45 ,"All orders are subject to acceptance and product availability. This item will be delivered in 2-5 working days. The delivery period stated within which you will receive your order is approximate.  Goods will be sent to the address given by you in your order.  We will always endeavor to notify you if certain items are out of stock and offer you alternatives. In the unlikely event that you receive goods which were not what you ordered or which are damaged or defective, or are of a different quantity to that stated on your order form, we shall make good any shortage or non-delivery, replace or repair any damaged or defective goods, or refund to you the amount you paid for the goods in question provided that you notify us of the problem within 7 working days of delivery of the goods by contacting our customer service team at info@tfs.direct",DFF0159BLSDID,£148.20,
ARMCHA0003,Living Room,,Armchairs,,85,92,90,H85 W92 D90,Vinyl,Brown,Hoxton Armchair,"The Hoxton is a versatile armchair that would suit most interiors and decor. A compact chair with low wide feet, faux leather brown fabric and solid wood frame consisting of base rails, springs and other load bearing rails. Comprising of fire resistant foam (CMHR), stain resistant vinyl covering (80% PVC 20% Cotton) and stitched seams. Rub test 80,000.  We recommend to clean this article with a sponge dampened with water and vacuum with a soft brush. Has removable foam filled seat cushions and removable rebound  fibre filled  back cushion. Compliant with BS5852 Part 1 Cigarette and Match and BS5852 FR3 CRIB Ignition Source 5. Complies with EN 12520:2015 strength, durability and safety of seating. Made in the UK. Comes with one year warranty. ","armchair,brown,Hoxton,C1,CU",Manhattan-Leather-1-Seater-Brown,,Stock, £113.40 ,75, £198.45 ,"All orders are subject to acceptance and product availability. This item will be delivered in 2-5 working days. The delivery period stated within which you will receive your order is approximate.  Goods will be sent to the address given by you in your order.  We will always endeavor to notify you if certain items are out of stock and offer you alternatives. In the unlikely event that you receive goods which were not what you ordered or which are damaged or defective, or are of a different quantity to that stated on your order form, we shall make good any shortage or non-delivery, replace or repair any damaged or defective goods, or refund to you the amount you paid for the goods in question provided that you notify us of the problem within 7 working days of delivery of the goods by contacting our customer service team at info@tfs.direct",DFF0159BRSDID,£148.20,
ARMCHA0004,Living Room,,Armchairs,,85,92,90,H85 W92 D90,Vinyl,Cream,Hoxton Armchair,"The Hoxton is a versatile armchair that would suit most interiors and decor. A compact chair with low wide feet, faux leather cream fabric and solid wood frame consisting of base rails, springs and other load bearing rails. Comprising of fire resistant foam (CMHR), stain resistant vinyl covering (80% PVC 20% Cotton) and stitched seams. Rub test 80,000.  We recommend to clean this article with a sponge dampened with water and vacuum with a soft brush. Has removable foam filled seat cushions and removable rebound  fibre filled  back cushion. Compliant with BS5852 Part 1 Cigarette and Match and BS5852 FR3 CRIB Ignition Source 5. Complies with EN 12520:2015 strength, durability and safety of seating. Made in the UK. Comes with one year warranty. ","armchair,cream,Hoxton,C1,CU",Alan,,Special, £113.40 ,75, £198.45 ,"All orders are subject to acceptance and product availability. This item will be delivered in 10-15 working days. The delivery period stated within which you will receive your order is approximate.  Goods will be sent to the address given by you in your order.  We will always endeavor to notify you if certain items are out of stock and offer you alternatives. In the unlikely event that you receive goods which were not what you ordered or which are damaged or defective, or are of a different quantity to that stated on your order form, we shall make good any shortage or non-delivery, replace or repair any damaged or defective goods, or refund to you the amount you paid for the goods in question provided that you notify us of the problem within 7 working days of delivery of the goods by contacting our customer service team at info@tfs.direct",DFF0140CRSDID,£148.20,
ARMCHA0006,Living Room,,Armchairs,,85,92,90,H85 W92 D90,Fabric,Beige,Hoxton Armchair,"Upholstered beige armchair (part of suite). Has removable foam filled seat cushion and removable rebound fibre filled back cushion. Fire resistant foam (CMHR), 100% Polyester with solid wood frame which is FSC certified. Care recommendation - vacuum with a soft brush attachment. Compliant with BS5852 Part 1 Cigarette and Match and BS5852 FR3 CRIB Ignition Source 5. Complies with EN 12520:2015 for strength, durability and safety of seating. Made in the UK. Comes with one year warranty.","armchair,beige,Hoxton,C1,CU",Alan,,Special, £113.40 ,75, £198.45 ,"All orders are subject to acceptance and product availability. This item will be delivered in 10-15 working days. The delivery period stated within which you will receive your order is approximate.  Goods will be sent to the address given by you in your order.  We will always endeavor to notify you if certain items are out of stock and offer you alternatives. In the unlikely event that you receive goods which were not what you ordered or which are damaged or defective, or are of a different quantity to that stated on your order form, we shall make good any shortage or non-delivery, replace or repair any damaged or defective goods, or refund to you the amount you paid for the goods in question provided that you notify us of the problem within 7 working days of delivery of the goods by contacting our customer service team at info@tfs.direct",DFF0141BGSDID,£148.20,
ARMCHA0007,Living Room,,Armchairs,,85,92,90,H85 W92 D90,Fabric,Brown,Hoxton Armchair,"Upholstered brown armchair (part of suite). Has removable foam filled seat cushion and removable rebound fibre filled back cushion. Fire resistant foam (CMHR), 100% Polyester with solid wood frame which is FSC certified. Care recommendation - vacuum with a soft brush attachment. Compliant with BS5852 Part 1 Cigarette and Match and BS5852 FR3 CRIB Ignition Source 5. Complies with EN 12520:2015 for strength, durability and safety of seating. Made in the UK. Comes with one year warranty.","armchair,brown,Hoxton,C1,CU",Alan,,Special, £113.40 ,75, £198.45 ,"All orders are subject to acceptance and product availability. This item will be delivered in 10-15 working days. The delivery period stated within which you will receive your order is approximate.  Goods will be sent to the address given by you in your order.  We will always endeavor to notify you if certain items are out of stock and offer you alternatives. In the unlikely event that you receive goods which were not what you ordered or which are damaged or defective, or are of a different quantity to that stated on your order form, we shall make good any shortage or non-delivery, replace or repair any damaged or defective goods, or refund to you the amount you paid for the goods in question provided that you notify us of the problem within 7 working days of delivery of the goods by contacting our customer service team at info@tfs.direct",DFF0141BRSDID,£148.20,
ARMCHA0008,Living Room,,Armchairs,,85,92,90,H85 W92 D90,Fabric,Grey,Hoxton Armchair,"Upholstered grey armchair (part of suite). Has removable foam filled seat cushion and removable rebound fibre filled back cushion. Fire resistant foam (CMHR), 100% Polyester with solid wood frame which is FSC certified. Care recommendation - vacuum with a soft brush attachment. Compliant with BS5852 Part 1 Cigarette and Match and BS5852 FR3 CRIB Ignition Source 5. Complies with EN 12520:2015 for strength, durability and safety of seating. Made in the UK. Comes with one year warranty.","armchair,grey,Hoxton,C1,CU",no stock - fabric swatch - Alan,,Special, £113.40 ,75, £198.45 ,"All orders are subject to acceptance and product availability. This item will be delivered in 10-15 working days. The delivery period stated within which you will receive your order is approximate.  Goods will be sent to the address given by you in your order.  We will always endeavor to notify you if certain items are out of stock and offer you alternatives. In the unlikely event that you receive goods which were not what you ordered or which are damaged or defective, or are of a different quantity to that stated on your order form, we shall make good any shortage or non-delivery, replace or repair any damaged or defective goods, or refund to you the amount you paid for the goods in question provided that you notify us of the problem within 7 working days of delivery of the goods by contacting our customer service team at info@tfs.direct",DFF0141GRSDID,£148.20,
ARMCHA0019,Living Room,,Armchairs,,93,113,98,H93 W113 D98,Vinyl,Black,Barcelona Armchair,"Faux black leather armchair with FSC Certified wolid wood frame. 80% PVC 20% Cotton. Fire resistant foam (CMHR). Stain resistant vinyl covering with stitched seams. Foam filled fixed seat cushion and removable rebound fibre filled back cushion. We recommend to clean with a damp sponge and vacuum with a soft brush. Complies to EN 12520:2015 for strength, durability and safety of seating. Comes with one year warranty.","armchair,black,Barcelona,C1,CU",cara_1seater1,cara_1seater2,Special, £81.00 ,75, £141.75 ,"All orders are subject to acceptance and product availability. This item will be delivered in 10-15 working days. The delivery period stated within which you will receive your order is approximate.  Goods will be sent to the address given by you in your order.  We will always endeavor to notify you if certain items are out of stock and offer you alternatives. In the unlikely event that you receive goods which were not what you ordered or which are damaged or defective, or are of a different quantity to that stated on your order form, we shall make good any shortage or non-delivery, replace or repair any damaged or defective goods, or refund to you the amount you paid for the goods in question provided that you notify us of the problem within 7 working days of delivery of the goods by contacting our customer service team at info@tfs.direct",DFF0302BLSDID,£134.20,
ARMCHA0020,Living Room,,Armchairs,,93,113,98,H93 W113 D98,Vinyl,Brown,Barcelona Armchair,"Faux brown leather armchair with FSC Certified wolid wood frame. 80% PVC 20% Cotton. Fire resistant foam (CMHR). Stain resistant vinyl covering with stitched seams. Foam filled fixed seat cushion and removable rebound fibre filled back cushion. We recommend to clean with a damp sponge and vacuum with a soft brush. Complies to EN 12520:2015 for strength, durability and safety of seating. Comes with one year warranty.","armchair,brown,Barcelona,C1,CU",cara_1seater1br,cara_1seater2br,Special, £81.00 ,75, £141.75 ,"All orders are subject to acceptance and product availability. This item will be delivered in 10-15 working days. The delivery period stated within which you will receive your order is approximate.  Goods will be sent to the address given by you in your order.  We will always endeavor to notify you if certain items are out of stock and offer you alternatives. In the unlikely event that you receive goods which were not what you ordered or which are damaged or defective, or are of a different quantity to that stated on your order form, we shall make good any shortage or non-delivery, replace or repair any damaged or defective goods, or refund to you the amount you paid for the goods in question provided that you notify us of the problem within 7 working days of delivery of the goods by contacting our customer service team at info@tfs.direct",DFF0302BRSDID,£134.20,
ARMCHA0025,Living Room,,Armchairs,,85,92,90,H85 W92 D90,Fabric,Aubergine,Hoxton Armchair,"Upholstered aubergine armchair (part of suite). Has removable foam filled seat cushion and removable rebound fibre filled back cushion. Fire resistant foam (CMHR), 100% Polyester with solid wood frame which is FSC certified. Care recommendation - vacuum with a soft brush attachment. Compliant with BS5852 Part 1 Cigarette and Match and BS5852 FR3 CRIB Ignition Source 5. Complies with EN 12520:2015 for strength, durability and safety of seating. Made in the UK. Comes with one year warranty.","armchair,aubergine,Hoxton,C1,CU",no stock - fabric swatch - Alan,,Special, £113.40 ,75, £198.45 ,"All orders are subject to acceptance and product availability. This item will be delivered in 10-15 working days. The delivery period stated within which you will receive your order is approximate.  Goods will be sent to the address given by you in your order.  We will always endeavor to notify you if certain items are out of stock and offer you alternatives. In the unlikely event that you receive goods which were not what you ordered or which are damaged or defective, or are of a different quantity to that stated on your order form, we shall make good any shortage or non-delivery, replace or repair any damaged or defective goods, or refund to you the amount you paid for the goods in question provided that you notify us of the problem within 7 working days of delivery of the goods by contacting our customer service team at info@tfs.direct",ARMCHA0025,£148.20,
ARMCHA0026,Living Room,,Armchairs,,85,92,90,H85 W92 D90,Fabric,Teal,Hoxton Armchair,"Upholstered teal armchair (part of suite). Has removable foam filled seat cushion and removable rebound fibre filled back cushion. Fire resistant foam (CMHR), 100% Polyester with solid wood frame which is FSC certified. Care recommendation - vacuum with a soft brush attachment. Compliant with BS5852 Part 1 Cigarette and Match and BS5852 FR3 CRIB Ignition Source 5. Complies with EN 12520:2015 for strength, durability and safety of seating. Made in the UK. Comes with one year warranty.","armchair,teal,Hoxton,C1,CU",Alan,,Special, £113.40 ,75, £198.45 ,"All orders are subject to acceptance and product availability. This item will be delivered in 10-15 working days. The delivery period stated within which you will receive your order is approximate.  Goods will be sent to the address given by you in your order.  We will always endeavor to notify you if certain items are out of stock and offer you alternatives. In the unlikely event that you receive goods which were not what you ordered or which are damaged or defective, or are of a different quantity to that stated on your order form, we shall make good any shortage or non-delivery, replace or repair any damaged or defective goods, or refund to you the amount you paid for the goods in question provided that you notify us of the problem within 7 working days of delivery of the goods by contacting our customer service team at info@tfs.direct",ARMCHA0026,£148.20,
