PAP Part Number,TFS Product Code,Cat 1,Cat 2,Cat 3,Sub Category,Item,Range/Brand,Height/Length cm (approx),Width cm (approx),Depth cm (approx),Size (all sizes are approximate),Fabric,Colour,Web product Name,Product Description,User Tags,image name 1 (same as sku),image name 2 (same as sku),image name 3 (same as sku),Image name 4 (same as sku),Cost Price (ex VAT, Mark up % ,TFS Selling Price (ex VAT),Delivery,,,,
XR814W,WASHINNR003,Kitchen,,,Washing Machines & Dryers,Washing Machine,Statesman XR814W,850,595,555,8.55kg ,Metal,White,Statesman 8.5kg 1400RPM Washing Machine White,"Statesman 8.5kg 1400RPM Washing Machine White with 8.55kg Load Capacity, 1400RPM Spin Speed, 12 Wash Programs, Cycle Progress Indicators, Energy Rating A+++",,PikaPak_XR814W_A,,,,£174.99, 55 ,£270.83,5-7 working days,,,,
ZXC683W,TUMBLENE004,Kitchen,,,Washing Machines & Dryers,Tumble Dryer,Statesman ZXC683W,855,595,565,8kg,Metal,White,Statesman 8kg Freestanding Condenser Tumble Dryer White,"Statesman 8kg Freestanding Condenser Tumble Dryer White with 8kg Load Capacity, Sensor Drying Electronic, Sensor Programs, Reverse Action Drum, Child Lock, Reduced Ironing Function",,PikaPak_ZXC683W_C,,,,£181.24, 77 ,£319.99,5-7 working days,,,,
XD0806W,WASHERNR002,Kitchen,,,Washing Machines & Dryers,Washer Dryer,Statesman XD0806W,850,595,470,8kg/6kg,Metal,White,Statesman 8kg 6kg Freestanding Washer Dryer White,"Statesman 8kg 6kg Freestanding Washer Dryer White with 8kg Wash Capacity, 6kg Dry Capacity, My Cycle, Baby Care, 1400rpm Spin Speed, 16 Wash Programs, 4 Dry Programs, 15 Minute Quick Wash, Pre wash, LED Display, Energy Rating B, Wash Performance A, Spin Efficiency B",,PikaPak_XD0806W_B,,,,£249.99, 72 ,£429.99,5-7 working days,,,,
TVM07W,TUMBLENE005,Kitchen,,,Washing Machines & Dryers,Tumble Dryer,Statesman TVM07W,840,595,550,7kg,Metal,White,Statesman 7kg Vented Tumble Dryer,"Statesman 7kg Vented Tumble Dryer with 7kg Load Capacity, 3 Dry Programs(Mixed Load, Cotton and Synthetic), 1 Hour Timed Program",,PikaPak_TVM07W_A,,,,£112.49, 87 ,£209.99,5-7 working days,,,,
L255W,FRIDGENR004,Kitchen,,,Fridges & Freezers,Under Counter Larder Fridge,Statesman L255W,845,553,574,136 L,Metal,White,Statesman 55cm Under Counter Larder Fridge White,"Statesman 55cm Under Counter Larder Fridge White with 2 x Adjustable Glass Shelves, Large Capacity Salad Drawer, Mechanical Control, Reversible Door, Total Gross Capacity 136L, Total Net Capacity 133L",,PikaPak_L255W_A,,,,£87.49, 83 ,£159.99,5-7 working days,,,,
U355W,FREEZENR005,Kitchen,,,Fridges & Freezers,Under Counter Freezer,StatesmanU355W,845,553,574,94 L,Metal,White,Statesman 55cm Under Counter Freezer White,"Statesman 55cm Under Counter Freezer White with 3 x Robust Large Capacity Storage Drawers, 4 Star Freezer, Reversible Door, Mechanical Control, Adjustable foot, Gross Freezer Volume 94L, Net Freezer Volume 86L",,PikaPak_U355W_A,,,,£99.99, 80 ,£179.99,5-7 working days,,,,
R155W,FRIDGENR006,Kitchen,,,Fridges & Freezers,Under Counter Fridge with Icebox,Statesman R155W,845,553,574,123 L,Metal,White,Statesman 55cm Under Counter Fridge with 4* Ice Box White,"Statesman 55cm Under Counter Fridge with 4* Ice Box White with 1 x Adjustable Glass Shelf, Large Capacity Salad Drawer, Mechanical Control, Adjustable foot, Reversible Door, Total Gross Volume 123L, Total Net Volume 97L, Freezer storage volume-16L",,PikaPak_R155W_A,,,,£93.74, 81 ,£169.99,5-7 working days,,,,
F2510APW,FRIFRENR002,Kitchen,,,Fridges & Freezers,Fridge Freezer,Statesman F2510APW,1710,550,575,154 L/97 L,Metal,White,Statesman Cambrian 55cm 50/50 Freestanding Fridge Freezer,"Statesman Cambrian 55cm 50/50 Freestanding Fridge Freezer with A+ Energy Rating, 4 x Freezer Compartments, Gross Fridge Capacity 159L, Net Fridge Capacity 154L, Gross Freezer Capacity 108L, Net Freezer Capacity 97L, 50:50 Split, 2 x Adjustable Glass Shelves, Clear Salad Crisper with Glass Cover, 2L Bottle Rack,
Transparent Freezer Drawers, Reversible Doors",,PikaPak_F2510APW_A,,,,£146.83, 91 ,£279.99,5-7 working days,,,,
TL235LW,FRIDGENR005,Kitchen,,,Fridges & Freezers,Larder Fridge,Statesman TL235LW,1420,550,550,235 L,Metal,White,Statesman 55cm Freestanding Larder Fridge White,"Statesman 55cm Freestanding Larder Fridge White with 235L Storage Capacity, 236L Gross volume, Mechanical Control, Interior Light, Fruit & Vegetable crisper, Energy Rating-A+",,PikaPak_TL235LW_A,,,,£124.99, 67 ,£208.33,5-7 working days,,,,
TF160LW,FREEZENR004,Kitchen,,,Fridges & Freezers,Freezer,StatesmanTF160LW,1420,550,550,170 L,Metal,White,Statesman 55cm Freestanding Tall Freezer White,"Statesman 55cm Freestanding Tall Freezer White with 170L Gross capacity, 157L Net capacity, Mechanical temperature control, 3 Transparent drawers, 2 Flap drawers (top & bottom), 4 Star freezer compartment, Energy Rating A+",,PikaPak_TL235LW_A,,,,£143.74, 74 ,£249.99,5-7 working days,,,,
