157.55.39.239,Request URL https://tfs.direct/?page_id=135,Referer ,
207.46.13.236,Request URL https://tfs.direct/?product=spectrum-curtain-pole-4-80mt,Referer ,
207.46.13.116,Request URL https://tfs.direct/?product_tag=2-5-seater-sofa,Referer ,
207.46.13.116,Request URL https://tfs.direct/?product_cat=home-electricals&add-to-cart=31798,Referer ,
207.46.13.116,Request URL https://tfs.direct/?product_cat=home-electricals&add-to-cart=31793,Referer ,
207.46.13.236,Request URL https://tfs.direct/?product=exquisite-ginger-oak,Referer ,
207.46.13.236,Request URL https://tfs.direct/?page_id=50,Referer ,
207.46.13.236,Request URL https://tfs.direct/?page_id=47,Referer ,
207.46.13.236,Request URL https://tfs.direct/?m=201702,Referer ,
207.46.13.152,Request URL https://tfs.direct/?product_cat=home-electricals&add-to-cart=31803,Referer ,
207.46.13.152,Request URL https://tfs.direct/?page_id=53,Referer ,
207.46.13.152,Request URL https://tfs.direct/?page_id=44,Referer ,
207.46.13.152,Request URL https://tfs.direct/?m=201606,Referer ,
40.77.167.138,Request URL https://tfs.direct/?product_cat=home-electricals&add-to-cart=31797,Referer ,
40.77.167.138,Request URL https://tfs.direct/?product_cat=home-electricals,Referer ,
40.77.167.138,Request URL https://tfs.direct/?page_id=90,Referer ,
40.77.167.138,Request URL https://tfs.direct/?page_id=33,Referer ,
40.77.167.138,Request URL https://tfs.direct/?page_id=107,Referer ,
40.77.167.138,Request URL https://tfs.direct/?p=403,Referer ,
157.55.39.11,Request URL https://tfs.direct/?product=vacuum-upright-bagless,Referer ,
